Anio,Poblacion,Biocapacidad Percap,Huella Ecologica Percap,Tierra,Id_Anio
1961,30.92,3.15,2.28,0.72,f106b7f99d2cb30c3db1c3cc0fde9ccb
1962,31.5,3.11,2.3,0.74,95f6870ff3dcd442254e334a9033d349
1963,32.11,3.05,2.35,0.77,c215b446bcdf956d848a8419c1b5a920
1964,32.74,3.0,2.4,0.8,39dcaf7a053dc372fbc391d4e6b5d693
1965,33.4,2.95,2.43,0.82,d46e1fcf4c07ce4a69ee07e4134bcef1
1966,34.08,2.92,2.49,0.85,3683af9d6f6c06acee72992f2977f67e
1967,34.79,2.87,2.5,0.87,a82d922b133be19c1171534e6594f754
1968,35.52,2.82,2.55,0.9,98c7242894844ecd6ec94af67ac8247d
1969,36.26,2.77,2.6,0.94,4d8556695c262ab91ff51a943fdd6058
1970,37.0,2.72,2.7,0.99,0004d0b59e19461ff126e3a08a814c33
1971,37.76,2.69,2.73,1.01,de73998802680548b916f1947ffbad76
1972,38.52,2.62,2.75,1.05,c4de8ced6214345614d33fb0b16a8acd
1973,39.28,2.6,2.84,1.09,deb54ffb41e085fd7f69a75b6359c989
1974,40.04,2.54,2.76,1.09,3d863b367aa379f71c7afc0c9cdca41d
1975,40.79,2.5,2.7,1.08,7d2b92b6726c241134dae6cd3fb8c182
1976,41.55,2.46,2.77,1.13,dd055f53a45702fe05e449c30ac80df9
1977,42.3,2.42,2.78,1.15,4afd521d77158e02aed37e2274b90c9c
1978,43.05,2.41,2.8,1.16,405e28906322882c5be9b4b27f4c35fd
1979,43.81,2.36,2.82,1.19,798cebccb32617ad94123450fd137104
1980,44.58,2.32,2.72,1.17,f80bf05527157a8c2a7bb63b22f49aaa
1981,45.37,2.3,2.64,1.15,b3b4d2dbedc99fe843fd3dedb02f086f
1982,46.17,2.28,2.58,1.13,fb87582825f9d28a8d42c5e5e5e8b23d
1983,47.0,2.23,2.53,1.13,1e4d36177d71bbb3558e43af9577d70e
1984,47.84,2.23,2.59,1.16,1b36ea1c9b7a1c3ad668b8bb5df7963f
1985,48.71,2.2,2.58,1.17,1f36c15d6a3d18d52e8d493bc8187cb9
1986,49.61,2.17,2.58,1.19,8c249675aea6c3cbd91661bbae767ff1
1987,50.53,2.14,2.6,1.21,d68a18275455ae3eaa2c291eebb46e6d
1988,51.45,2.08,2.61,1.25,9d7311ba459f9e45ed746755a32dcd11
1989,52.37,2.07,2.63,1.27,4a3e00961a08879c34f91ca0070ea2f5
1990,53.27,2.06,2.63,1.28,dc513ea4fbdaa7a14786ffdebc4ef64e
1991,54.14,2.01,2.57,1.28,96055f5b06bf9381ac43879351642cf5
1992,54.99,2.01,2.55,1.27,d5c186983b52c4551ee00f72316c6eaa
1993,55.82,1.97,2.51,1.27,c5a4e7e6882845ea7bb4d9462868219b
1994,56.63,1.96,2.51,1.28,008bd5ad93b754d500338c253d9c1770
1995,57.44,1.92,2.52,1.31,3f088ebeda03513be71d34d214291986
1996,58.25,1.92,2.54,1.32,6351bf9dce654515bf1ddbd6426dfa97
1997,59.05,1.9,2.54,1.34,06964dce9addb1c5cb5d6e3d9838f733
1998,59.85,1.89,2.51,1.33,c5b2cebf15b205503560c4e8e6d1ea78
1999,60.64,1.87,2.49,1.33,5ec829debe54b19a5f78d9a65b900a39
2000,61.43,1.84,2.51,1.36,08f90c1a417155361a5c4b8d297e0d78
2001,62.23,1.83,2.51,1.37,d0fb963ff976f9c37fc81fe03c21ea7b
2002,63.02,1.81,2.51,1.39,4ba29b9f9e5732ed33761840f4ba6c53
2003,63.81,1.79,2.57,1.44,a591024321c5e2bdbd23ed35f0574dde
2004,64.61,1.78,2.66,1.49,b8b4b727d6f5d1b61fff7be687f7970f
2005,65.42,1.76,2.7,1.53,d47268e9db2e9aa3827bba3afb7ff94a
2006,66.24,1.74,2.74,1.57,ea5a486c712a91e48443cd802642223d
2007,67.06,1.73,2.78,1.61,a00e5eb0973d24649a4a920fc53d9564
2008,67.89,1.73,2.77,1.6,ef8446f35513a8d6aa2308357a268a7e
2009,68.73,1.7,2.69,1.58,f1981e4bd8a0d6d8462016d2fc6276b3
2010,69.57,1.69,2.81,1.66,d7a84628c025d30f7b2c52c958767e76
2011,70.41,1.68,2.84,1.69,c8758b517083196f05ac29810b924aca
2012,71.26,1.64,2.78,1.7,253614bbac999b38b5b60cae531c4969
2013,72.11,1.65,2.81,1.7,8038da89e49ac5eabb489cfc6cea9fc1
2014,72.95,1.64,2.77,1.69,cee8d6b7ce52554fd70354e37bbf44a2
2015,73.8,1.62,2.73,1.69,65d2ea03425887a717c435081cfc5dbb
2016,74.64,1.61,2.69,1.67,95192c98732387165bf8e396c0f2dad2
2017,75.48,1.61,2.76,1.71,8d8818c8e140c64c743113f563cf750f
2018,76.31,1.58,2.77,1.75,84ddfb34126fc3a48ee38d7044e87276
2019,76.74,1.56,2.73,1.75,ea6b2efbdd4255a9f1b3bbc6399b58f4
2020,77.56,1.61,2.48,1.54,7b7a53e239400a13bd6be6c91c4f6c4e
2021,78.51,1.51,2.7,1.79,05a5cf06982ba7892ed2a6d38fe832d6
2022,79.48,1.52,2.73,1.8,3a824154b16ed7dab899bf000b80eeee
