Pais,Continente,Codigo,Anio,Combustibles Fosiles,Renovables,Nuclear,Id_Pais
Algeria,Africa,DZA,1965,95.24,4.76,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1966,96.48,3.52,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1967,95.71,4.29,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1968,94.51,5.49,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1969,96.82,3.18,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1970,95.33,4.67,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1971,97.54,2.46,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1972,96.72,3.28,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1973,95.82,4.18,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1974,97.51,2.49,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1975,98.62,1.38,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1976,98.6,1.4,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1977,99.12,0.88,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1978,99.35,0.65,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1979,99.42,0.58,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1980,99.57,0.43,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1981,99.5,0.5,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1982,99.43,0.57,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1983,99.74,0.26,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1984,99.49,0.51,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1985,99.27,0.73,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1986,99.73,0.27,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1987,99.48,0.52,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1988,99.82,0.18,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1989,99.78,0.22,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1990,99.87,0.13,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1991,99.72,0.28,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1992,99.82,0.18,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1993,99.65,0.35,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1994,99.84,0.16,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1995,99.82,0.18,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1996,99.87,0.13,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1997,99.93,0.07,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1998,99.79,0.21,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,1999,99.81,0.19,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2000,99.95,0.05,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2001,99.93,0.07,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2002,99.95,0.05,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2003,99.77,0.23,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2004,99.79,0.21,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2005,99.57,0.43,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2006,99.84,0.16,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2007,99.84,0.16,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2008,99.81,0.19,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2009,99.79,0.21,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2010,99.88,0.12,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2011,99.76,0.24,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2012,99.78,0.22,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2013,99.94,0.06,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
Algeria,Africa,DZA,2014,99.88,0.12,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
